tourney_date,surface,winner_name,loser_name
20250214,Hard,Moyuka Uchijima,Arantxa Rus
20250214,Hard,Aoi Ito,Taylor Townsend
20250214,Hard,Ashlyn Krueger,Jule Niemeier
20250214,Hard,Anastasia Zakharova,Viktoriya Tomova
20250214,Hard,Jaqueline Cristian,Elena-Gabriela Ruse
20250214,Hard,Alycia Parks,Polina Kudermetova
20250214,Hard,Bernarda Pera,Ysaline Bonaventure
20250214,Hard,Katerina Siniakova,Kristina Mladenovic
20250214,Hard,Irina-Camelia Begu,Leah Baroudi
20250214,Hard,Yuan Yue,Cristina Bucsa
20250214,Hard,Veronika Kudermetova,Chloe Paquet
20250214,Hard,Celine Simunyu,Renata Zarazua
20250214,Hard,Suzan Lamens,Daria Saville
20250214,Hard,Eva Lys,Ann Li
20250214,Hard,Zhang Shuai,Lucia Bronzetti
20250214,Hard,Kamilla Rakhimova,Darja Semenistaja
20250215,Hard,Aoi Ito,Ashlyn Krueger
20250215,Hard,Alycia Parks,Bernarda Pera
20250215,Hard,Moyuka Uchijima,Anastasia Zakharova
20250215,Hard,Irina-Camelia Begu,Yuan Yue
20250215,Hard,Veronika Kudermetova,Celine Simunyu
20250215,Hard,Katerina Siniakova,Jaqueline Cristian
20250215,Hard,Eva Lys,Kamilla Rakhimova
20250215,Hard,Suzan Lamens,Zhang Shuai
20250216,Hard,Paula Badosa,Lulu Sun
20250216,Hard,Alycia Parks,Wang Xinyu
20250216,Hard,Elise Mertens,Leylah Fernandez
20250216,Hard,Dayana Yastremska,Magda Linette
20250216,Hard,Sofia Kenin,Donna Vekic
20250216,Hard,Linda Noskova,Yulia Putintseva
20250216,Hard,Belinda Bencic,Aoi Ito
20250216,Hard,Liudmila Samsonova,Anastasia Pavlyuchenkova
20250216,Hard,Marketa Vondrousova,Caroline Garcia
20250216,Hard,Karolina Muchova,Suzan Lamens
20250216,Hard,Elina Svitolina,Anna Kalinskaya
20250216,Hard,Emma Raducanu,Maria Sakkari
20250217,Hard,Diana Shnaider,Magdalena Frech
20250217,Hard,Eva Lys,Irina-Camelia Begu
20250217,Hard,Anastasia Potapova,Beatriz Haddad Maia
20250217,Hard,Sorana Cirstea,Daria Kasatkina
20250217,Hard,Marta Kostyuk,Katerina Siniakova
20250217,Hard,Clara Tauson,Rebecca Sramkova
20250217,Hard,Victoria Azarenka,Anhelina Kalinina
20250217,Hard,Moyuka Uchijima,Jelena Ostapenko
20250217,Hard,McCartney Kessler,Amanda Anisimova
20250217,Hard,Veronika Kudermetova,Ekaterina Alexandrova
20250217,Hard,Peyton Stearns,Ons Jabeur
20250217,Hard,Mirra Andreeva,Elina Avanesyan
20250218,Hard,Elena Rybakina,Moyuka Uchijima
20250218,Hard,Jasmine Paolini,Eva Lys
20250218,Hard,Paula Badosa,Elise Mertens
20250218,Hard,Linda Noskova,Diana Shnaider
20250218,Hard,Sofia Kenin,Marta Kostyuk
20250218,Hard,Jessica Pegula,Liudmila Samsonova
20250218,Hard,Iga Swiatek,Victoria Azarenka
20250218,Hard,Dayana Yastremska,Anastasia Potapova
20250218,Hard,McCartney Kessler,Coco Gauff
20250218,Hard,Aryna Sabalenka,Veronika Kudermetova
20250218,Hard,Karolina Muchova,Emma Raducanu
20250218,Hard,Clara Tauson,Elina Svitolina
20250219,Hard,Emma Navarro,Belinda Bencic
20250219,Hard,Peyton Stearns,Zheng Qinwen
20250219,Hard,Mirra Andreeva,Marketa Vondrousova
20250219,Hard,Sorana Cirstea,Alycia Parks
20250219,Hard,Sofia Kenin,Jasmine Paolini
20250219,Hard,Linda Noskova,Jessica Pegula
20250219,Hard,Iga Swiatek,Dayana Yastremska
20250219,Hard,Elena Rybakina,Paula Badosa
20250219,Hard,Mirra Andreeva,Peyton Stearns
20250219,Hard,Karolina Muchova,McCartney Kessler
20250219,Hard,Clara Tauson,Aryna Sabalenka
20250219,Hard,Sorana Cirstea,Emma Navarro
20250220,Hard,Mirra Andreeva,Iga Swiatek
20250220,Hard,Clara Tauson,Linda Noskova
20250220,Hard,Elena Rybakina,Sofia Kenin
20250220,Hard,Karolina Muchova,Sorana Cirstea
20250221,Hard,Mirra Andreeva,Elena Rybakina
20250221,Hard,Clara Tauson,Karolina Muchova
20250222,Hard,Mirra Andreeva,Clara Tauson
20250222,Hard,Marton Fucsovics,Jozef Kovalik
20250222,Hard,Luca Nardi,Lloyd Harris
20250222,Hard,Quentin Halys,Yasutaka Uchiyama
20250222,Hard,Christopher O'Connell,Abdulrahman Al Janahi
20250222,Hard,Pavel Kotov,Yosuke Watanuki
20250222,Hard,Botic Van De Zandschulp,Andrea Vavassori
20250222,Hard,Otto Virtanen,Mikhail Kukushkin
20250222,Hard,Roman Safiullin,Nikoloz Basilashvili
20250223,Hard,Christopher O'Connell,Botic Van De Zandschulp
20250223,Hard,Marton Fucsovics,Luca Nardi
20250223,Hard,Roman Safiullin,Otto Virtanen
20250223,Hard,Quentin Halys,Pavel Kotov
20250224,Hard,Roberto Bautista Agut,Fabian Marozsan
20250224,Hard,Alexei Popyrin,Hady Habib
20250224,Hard,Karen Khachanov,Daniel Evans
20250224,Hard,Zizou Bergs,Aziz Dougaz
20250224,Hard,Stefanos Tsitsipas,Lorenzo Sonego
